state,locale,vegetation,lat,lon,elev,pct-silt-5,pct-silt-10,pct-silt-20,pct-silt-50,pct-silt-100,pct-clay-5,pct-clay-10,pct-clay-20,pct-clay-50,pct-clay-100,pct-sand-5,pct-sand-10,pct-sand-20,pct-sand-50,pct-sand-100,pct-clay-all,pct-clay-all-unc,pct-silt-all,pct-silt-all-unc,pct-sand-all,pct-sand-all-unc,soil-class,swp-wiltp-5,swp-wiltp-5-unc,swp-wiltp-10,swp-wiltp-10-unc,swp-wiltp-20,swp-wiltp-20-unc,swp-wiltp-50,swp-wiltp-50-unc,swp-wiltp-100,swp-wiltp-100-unc,swp-fcap-5,swp-fcap-5-unc,swp-fcap-10,swp-fcap-10-unc,swp-fcap-20,swp-fcap-20-unc,swp-fcap-50,swp-fcap-50-unc,swp-fcap-100,swp-fcap-100-unc
AL,Fairhope 3NE,dense grass,30.54,-87.87,29,16.6,12.9,12.8,13.2,11.5,5.3,3.2,3,3.1,13,78.1,83.9,84.2,83.7,75.5,5.5,4.3,13.4,1.9,81.1,4.0,LS,3.3,1.2,2.4,1.6,1.5,0.9,1.8,1.0,5.6,6.5,6.5,2.5,4.8,0.3,5.0,0.5,5.1,0.9,10.3,9.8
AL,Gadsden 19N,Grass,34.28,-85.96,351,23.5,22.1,19.5,25.4,23.9,7.5,7.1,7.3,12.5,11.4,69,70.8,73.2,62.1,64.7,9.2,2.6,22.9,2.2,68.0,4.5,SL,2.8,0.6,2.4,1.0,2.2,1.5,4.6,0.4,5.2,1.5,,,,,,,,,,
AL,Selma 13 WNW,Grass,32.45,-87.24,59,42.5,41.1,43.1,33.3,29.8,52.8,54.1,52.2,62.1,66.1,4.7,4.8,4.7,4.6,4.1,57.5,6.3,38.0,6.0,4.6,0.3,C,23.0,2.1,21.7,1.7,20.8,0.6,22.2,8.8,26.4,1.4,,,,,,,,,,
AR,Batesville 8 WNW,Grass,35.82,-91.78,139,57.6,57.3,55.9,46.3,42.1,13.7,14.4,15.8,22.6,22.1,28.7,28.3,28.3,31.1,35.8,17.7,4.3,51.8,7.2,30.4,3.2,SiL,6.5,0.4,6.4,0.5,7.0,2.0,9.9,1.1,10.2,1.3,,,,,,,,,,
AZ,Elgin 5 S,sparse desert,31.59,-110.5,1466,21.1,20.6,17.4,16.1,16.5,27.4,27.7,45.5,45.9,49.8,51.5,51.7,37.1,38,33.7,39.3,10.8,18.3,2.3,42.4,8.6,CL,8.5,1.1,8.8,0.4,13.1,5.2,12.9,4.3,13.8,5.7,18.2,1.9,19.6,2.2,22.3,7.5,22.6,7.3,24.4,9.5
AZ,Tucson 11 W,sparse desert,32.23,-111.16,833,,,,,,,,,,,,,,,,,,,,,,,6.0,0.3,5.6,0.3,,,,,,,14.9,0.3,15.5,0.5,,,,,,
AZ,Williams 35 NNW,desert shrub/grass,35.75,-112.33,1826,,36.8,,,,,15.9,,,,,47.3,,,,15.9,.1,36.8,.1,47.3,.1,L,8.2,0.6,9.0,0.9,,,,,,,18.8,1.7,19.6,2.2,,,,,,
CA,Fallbrook 5 NE,sparse grass/shrub,33.43,-117.19,347,30.3,28.5,,,,14.3,13.9,,,,55.4,57.6,,,,14.1,0.3,29.4,1.3,56.5,1.6,SL,5.6,0.3,5.4,0.5,,,,,,,18.3,1.4,16.7,1.3,,,,,,
CA,Stovepipe Wells 1 SW,disturbed soils,36.6,-117.14,26,,,,,,,,,,,,,,,,,,,,,,,1.2,0.1,1.3,0.3,,,,,,,3.6,0.6,4.3,1.5,,,,,,
CO,Cortez 8 SE,grass/shrub,37.25,-108.5,2449,28.8,29.1,26.4,31.4,26.3,20.6,21.4,36.5,27.8,41.9,50.6,49.5,37.1,40.8,31.8,29.6,9.4,28.4,2.1,42.0,8.1,CL,7.6,0.7,9.2,0.8,11.1,2.2,9.0,4.6,12.3,3.4,17.6,0.9,18.7,1.0,22.7,3.2,20.0,7.2,26.5,7.1
